38.18,0,6.51,7.86,7.87,15.93,23.58,25.82,44.91,44.91
"CDMX Doméstica Media 2013",1,2,1,0,0,0,0.16,"MXN",2013,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
126.32,126.32,207.72,370.62,533.6199999999999,696.72,1206.9199999999998,1880.5199999999998,3227.82,0
126.32,0,16.28,16.29,16.3,16.31,25.51,33.68,44.91,44.91
"CDMX Doméstica Popular 2013",1,2,1,0,0,0,0.16,"MXN",2013,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
33.68,33.68,48.28,93.18,180.78,268.47999999999996,737.8799999999999,1254.28,2601.5799999999995,0
33.68,0,2.92,4.49,8.76,8.77,23.47,25.82,44.91,70.74
"CDMX No Doméstica 2013",1,2,1,0,0,0,0.16,"MXN",2013,0,"ok",-1
0,10,20,30,50,70,90,120,1000
151.58,151.58,308.78000000000003,594.8800000000001,1246.08,1986.08,2772.08,4119.68,0
151.58,0,15.72,28.61,32.56,37,39.3,44.92,70.74
"CDMX Doméstica Alta 2014",1,2,1,0,0,0,0.16,"MXN",2014,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
157.37,157.37,245.92000000000002,443.92,678.92,929.92,1467.92,2167.3199999999997,3566.5199999999995,0
157.37,0,17.71,19.8,23.5,25.1,26.9,34.97,46.64,73.44
"CDMX Doméstica Baja 2014",1,2,1,0,0,0,0.16,"MXN",2014,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
39.64,39.64,73.44,164.44,293.44,474.44,932.4399999999999,1492.44,2891.64,0
39.64,0,6.76,9.1,12.9,18.1,22.9,28,46.64,73.44
"CDMX Doméstica Media 2014",1,2,1,0,0,0,0.16,"MXN",2014,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
131.15,131.15,215.65,400.65,619.65,855.65,1377.65,2077.05,3476.2500000000005,0
131.15,0,16.9,18.5,21.9,23.6,26.1,34.97,46.64,73.44
"CDMX Doméstica Popular 2014",1,2,1,0,0,0,0.16,"MXN",2014,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
34.97,34.97,50.12,98.12,196.12,339.12,765.12,1305.1200000000001,2704.32,0
34.97,0,3.03,4.8,9.8,14.3,21.3,27,46.64,73.44
"CDMX No Doméstica 2014",1,2,1,0,0,0,0.16,"MXN",2014,0,"ok",-1
0,10,20,30,50,70,90,120,1000
157.37,157.37,357.37,657.37,1357.37,2157.37,3020.17,4454.17,0
157.37,0,20,30,35,40,43.14,47.8,73.44
"CDMX Doméstica Alta 2015",1,2,1,0,0,0,0.16,"MXN",2015,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
163.6,163.6,255.64999999999998,461.44999999999993,705.75,966.65,1526.0499999999997,2253.0499999999997,3707.7499999999995,0
163.6,0,18.41,20.58,24.43,26.09,27.97,36.35,48.49,76.35
"CDMX Doméstica Baja 2015",1,2,1,0,0,0,0.16,"MXN",2015,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
41.21,41.21,76.36,170.96,305.06,493.26,969.46,1551.66,3006.36,0
41.21,0,7.03,9.46,13.41,18.82,23.81,29.11,48.49,76.35
"CDMX Doméstica Media 2015",1,2,1,0,0,0,0.16,"MXN",2015,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
136.34,136.34,224.19,416.49,644.1899999999999,889.49,1432.09,2159.09,3613.79,0
136.34,0,17.57,19.23,22.77,24.53,27.13,36.35,48.49,76.35
"CDMX Doméstica Popular 2015",1,2,1,0,0,0,0.16,"MXN",2015,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
36.35,36.35,52.1,102.,203.9,352.6,795.4,1356.7999999999997,2811.4999999999995,0
36.35,0,3.15,4.99,10.19,14.87,22.14,28.07,48.49,76.35
"CDMX No Doméstica 2015",1,2,1,0,0,0,0.16,"MXN",2015,0,"ok",-1
0,10,20,30,50,70,90,120,1000
163.6,163.6,371.5,683.4,1411.1999999999998,2243.,3140.,4630.700000000001,0
163.6,0,20.79,31.19,36.39,41.59,44.85,49.69,76.35
"CDMX Doméstica Alta 2016",1,2,1,0,0,0,0.16,"MXN",2016,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
168.58,168.58,263.43,475.5300000000001,727.2300000000001,996.1300000000001,1572.33,2321.5299999999997,3820.33,0
168.58,0,18.97,21.21,25.17,26.89,28.81,37.46,49.96,78.67
"CDMX Doméstica Baja 2016",1,2,1,0,0,0,0.16,"MXN",2016,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
42.46,42.46,78.66,176.16,314.35999999999996,508.25999999999993,998.86,1598.6599999999999,3097.46,0
42.46,0,7.24,9.75,13.82,19.39,24.53,29.99,49.96,78.67
"CDMX Doméstica Media 2016",1,2,1,0,0,0,0.16,"MXN",2016,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
140.49,140.49,230.99,429.19,663.79,916.5899999999999,1475.79,2224.99,3723.79,0
140.49,0,18.1,19.82,23.46,25.28,27.96,37.46,49.96,78.67
"CDMX Doméstica Popular 2016",1,2,1,0,0,0,0.16,"MXN",2016,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
37.46,37.46,53.71,105.11000000000001,210.11,363.31,819.51,1397.91,2896.71,0
37.46,0,3.25,5.14,10.5,15.32,22.81,28.92,49.96,78.67
"CDMX No Doméstica 2016",1,2,1,0,0,0,0.16,"MXN",2016,0,"ok",-1
0,10,20,30,50,70,90,120,1000
168.58,168.58,382.78000000000003,704.1800000000001,1454.1799999999998,2311.18,3235.38,4771.38,0
168.58,0,21.42,32.14,37.5,42.85,46.21,51.2,78.67
